Component;Environment;Title;Description;Action;Lifecycle;Type;Line of Business;Latest Revision;Valid as Of;Version
"Joule";"Cloud Foundry";"Document Grounding Capability - Pipeline Processing Statuses for Documents";"Additional attributes are now available to identify details and pipeline processing statuses for documents in the response of the following Pipeline API endpoints of the document grounding capability:    GET <url>/pipeline/api/v1/pipeline/{pipelineId}/executions/{executionId}/documents      GET <url>/pipeline/api/v1/pipeline/{pipelineId}/executions/{executionId}/documents/{documentId}      GET <url>/pipeline/api/v1/pipeline/{pipelineId}/documents      GET <url>/pipeline/api/v1/pipeline/{pipelineId}/documents/{documentId}      The following endpoints include now pagination support:    GET <url>/pipeline/api/v1/pipeline/{pipelineId}/executions/{executionId}/documents      GET <url>/pipeline/api/v1/pipeline/{pipelineId}/documents      See Get Pipeline Status.";"Info only";"General Availability";"Changed";"Technology";"2025-08-01";"2025-08-01";"Cloud"
"Joule,SAP BTP Cockpit";"Cloud Foundry";"New Navigational Use Cases Added to Joule in SAP BTP Cockpit";"Within a Cloud Foundry space, Joule in the cockpit can now take you to the following pages:    Applications  Events    Joule can now also take you to a HANA Cloud instance in a subaccount.  For more information, check out Supported Administrative Tasks Using Joule in the Cockpit.";"Info only";"General Availability";"New";"Technology";"2025-07-30";"2025-07-30";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Pipeline Content Update";"You can now send a POST request to the endpoint <url>/pipeline/api/v1/pipeline/trigger to manually trigger a pipeline to start the content update process for the document grounding capability.  See Set Up Content Ingestion.";"Info only";"General Availability";"New";"Technology";"2025-07-24";"2025-07-24";"Cloud"
"Joule";"Cloud Foundry";"New Transactional Use Case Available in SAP SuccessFactors";"The use case View time off instructions has been converted from Navigational to Transactional, and is now available in mobile apps.  For more information, refer to New Transactional Use Case Available in Joule - July 2025.";"Info only";"General Availability";"New";"Technology";"2025-07-20";"2025-07-24";"Cloud"
"Joule,SAP BTP Cockpit";"Cloud Foundry";"New Navigational Use Cases Added to Joule in SAP BTP Cockpit";"Within a Cloud Foundry space, Joule in the cockpit can now take you to the following pages:  Service Marketplace  Routes  Security Groups    For more information, check out Supported Administrative Tasks Using Joule in the Cockpit";"Info only";"General Availability";"New";"Technology";"2025-07-22";"2025-07-22";"Cloud"
"Joule";"Cloud Foundry";"Joule Enhancements";"  Co-referencing of Complex Message TypesComplex message types can now be co-referenced in chats. This allows users to reference previous non-text outputs, ensuring coherent and context-aware conversations.  Propagate Error Message for User-Transparent and Understandable LLM Error HandlingTransparent error handling in Joule ensures that users receive clear and understandable messages about specific errors, such as content filter violations and length restrictions. This allows users to continue their conversations seamlessly, enhancing the overall user experience by minimising confusion and interruptions.  ";"Info only";"General Availability";"New";"Technology";"2025-07-15";"2025-07-15";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Support for Documents in JSON and PPTX File Formats";"The document grounding capability now supports documents in JSON and PPTX file formats for the following providers and regions:  Amazon Web Services eu10 - Europe (Frankfurt), eu11 - Europe (Frankfurt) EU Access, and us10 - US East (VA)  Google Cloud eu30 - Europe (Frankfurt) and us30 - US Central (IA)  Microsoft Azure eu20 - Europe (Netherlands) and us21 - US East (VA)    See Set Up Document Grounding.";"Info only";"General Availability";"New";"Technology";"2025-07-11";"2025-07-11";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Support for Integration with SAP Build Work Zone";"The document grounding capability now supports the integration with SAP Build Work Zone, advanced edition.  See Set Up Data Repository Integration, Configure Access from SAP BTP, and Set Up Content Ingestion.";"Info only";"General Availability";"New";"Technology";"2025-07-11";"2025-07-11";"Cloud"
"Joule";"Cloud Foundry";"Joule Navigation Now Available in SAP Integrated Business Planning";"You can now use Joule to find and navigate to apps in SAP Integrated Business Planning.";"Info only";"General Availability";"New";"Technology";"2025-07-04";"2025-07-04";"Cloud"
"Joule,SAP BTP Cockpit";"Cloud Foundry";"New Administrative Use Cases Added to Joule in the SAP BTP Cockpit";"We've added to the list of administrative tasks that Joule can assist you with in the SAP BTP Cockpit:     Joule can now add new users to an existing subaccount  Select informational use cases now include a navigation option to have Joule take you to the corresponding cockpit page   Navigate to trust configuration in either the global account or a subaccount   Navigate to service instances in a Cloud Foundry space    For more information, check out Supported Administrative Tasks with Joule in the Cockpit";"Info only";"General Availability";"Announcement";"Technology";"2025-07-02";"2025-07-04";"Cloud"
"Joule";"Cloud Foundry";"Project assistant capabilities for Joule – Read Project sub-elements and Summarize changes to Projects & WBS Elements";"The following transactional use cases are now supported in Enterprise Portfolio and Project Management for SAP S/4HANA Cloud Private Edition:     Display WBS elements and Networks assigned to a project or WBS element  Summarize the changes of Projects and WBS Elements  ";"Info only";"General Availability";"New";"Technology";"2025-06-24";"2025-06-26";"Cloud"
"Joule";"Cloud Foundry";"Analytical Insights Capability - Support for Integration with SAP Build Work Zone";"The analytical insights capability in Joule now requires SAP Analytics Cloud integration with SAP Build Work Zone to allow users access to the feature. Users, roles, and permissions from SAP Analytics Cloud can be synced with SAP Build Work Zone by administrators using the provided instructions. This allows for role-based access and gives you greater flexibility in determining who in your organization can use analytical insights.  For more information, see Integration with SAP Analytics Cloud.";"Required";"General Availability";"Changed";"Technology";"2025-06-24";"2025-06-25";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases for SAP SuccessFactors Available in Joule - June 2025";"The following Joule use cases are now available in SAP SuccessFactors:      Fix login issues      View company      For more information, refer to New Use Cases Available in Joule - June 2025.";"Info only";"General Availability";"New";"Technology";"2025-06-24";"2025-06-25";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported in SAP S/4HANA Cloud Public Edition";"Joule now enables you to view business data of the following objects in SAP S/4HANA Cloud Public Edition:  Process Order    For a list of the supported business objects, their details, and sample requests, see Viewing Business Data.";"Info only";"General Availability";"New";"Technology";"2025-06-24";"2025-06-25";"Cloud"
"Joule,SAP BTP Cockpit";"Cloud Foundry";"Joule Enhances Navigation in SAP BTP Cockpit";"Joule now offers navigational scenarios in the BTP cockpit, guiding users to specific pages. Currently, navigation is limited to exporting subaccount users and accessing Cloud Foundry spaces.   This feature streamlines the user experience by providing direct navigation to relevant sections, enhancing efficiency and ease of use. For more information, see Account Administration Using Joule in the Cockpit.";"Info only";"General Availability";"New";"Technology";"2025-06-03";"2025-06-11";"Cloud"
"Joule";"Cloud Foundry";"Analytical Insights Capability - Support for SAP Datasphere analytic models in an SAP Business Data Cloud formation.";"Analytic models from SAP Datasphere are now supported by the analytical insights capability in Joule. Your SAP Datasphere system must be part of an SAP Business Data Cloud formation that includes your SAP Analytics Cloud system and Joule.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Checking sales order fulfillment status in SAP S/4HANA Cloud Public Edition";"Joule allows you to check whether a sales order's fulfillment is on track and identify the issues that block its fulfillment. For each sales order, Joule can tell whether such issues exist in the order processing phase. If yes, you can display issue details, view possible causes and handling suggestions for each issue, and navigate to related apps.  For more information on this capability, see Sales Order Status Check.";"Info only";"General Availability";"New";"Sales";"2025-05-30";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Expiring Prices Handling in SAP S/4HANA Cloud Public Edition";"Joule now enables you to manage expiring prices (stored as condition records for pricing in sales) in SAP S/4HANA Cloud Public Edition. With Joule, you can fetch prices that will expire soon, extend their valid-to dates, and adjust their condition amounts or ratios as you need.";"Info only";"General Availability";"New";"Sales";"2025-05-30";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Joule Available in SAP SuccessFactors Mobile apps";"You can now use Joule, SAP's AI copilot, inSAP SuccessFactors Mobile apps. For more information, see Joule Available in SAP SuccessFactors Mobile";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Joule Now Available in SAP Digital Manufacturing";"Joule is now available in SAP Digital Manufacturing for informational use cases. You have conversational access to the product documentation for SAP Digital Manufacturing. Just enter your query or question in plain natural language, and Joule searches the product documentation to find the answer. Joule summarizes the search results in the background. This summarization is then displayed to you as the answer to your question, along with the top three search results. If you select the title link of a result, you're taken directly to the relevant topic on SAP Help Portal.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Joule Transactional Use Cases are now Enabled for Cash Management Capabilities in SAP S/4HANA Cloud Private Edition";"You can now use Joule to provide comprehensive cash management capabilities, including monitoring bank statements, analyzing cash flow, and initiating bank transfers. This feature is essential for efficiently managing finances, identifying cash shortages, and maintaining a clear overview of financial activities.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"New Use Case Now Supported for Field Logistics in SAP S/4HANA Cloud Private Edition";"The following transactional use case is now supported in Field Logistics for SAP S/4HANA Cloud Private Edition:      Fetch Quantity for a Non-Stock Item    ";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Available in SAP SuccessFactors";"The following Joule use cases are now available in SAP SuccessFactors:      View current roles      View target roles      View offboarding tasks      View enrolled benefits      Explain pay statement      For more information, see SAP SuccessFactors What's New for Joule.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported in SAP S/4HANA Cloud Public Edition";"Joule now enables you to view business data of the following objects in SAP S/4HANA Cloud Public Edition:  Work Center  Resource    For a list of the supported business objects, their details, and sample requests, see Viewing Business Data.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"SAP Joule for Consultants";"SAP Joule for Consutants enables consultants to quickly obtain precise and indepth answers to questions regarding the design, implementation, or update of SAP systems, encompassing the entire SAP product portfolio.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Update Delivery Date for Purchase Orders";"Joule enables you, as a purchaser, to update delivery dates for purchase orders.  For example, when suppliers or equivalent sources inform you of delays or changes, you can use Joule to update the delivery dates with the new information.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Use Cases Now Supported in Convergent Invoicing in SAP S/4HANA Cloud Private Edition";"The following transactional capabilities are now supported in Convergent Invoicing in SAP S/4HANA Cloud Private Edition:      Clarification case: assign processor, resubmit, put on hold, set invoicing lock, and complete      Billing plan: reopen, release, and complete      Invoicing document: set print lock and remove print lock      Billing request: cancel, reject, send for checking, and release    ";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Welcome Message Translation";"The welcome message will appear in the user's preferred language based on their language settings. This ensures that Joule is presented in a language you are comfortable with, rather than the default English.";"Info only";"General Availability";"New";"Technology";"2025-05-31";"2025-05-31";"Cloud"
"Joule";"Cloud Foundry";"Joule for Microsoft 365 Copilot";"By integrating Joule and Microsoft 365 Copilot, you can leverage the Joule capabilities from within Microsoft 365 Copilot Business Chat. For more information, see Using Joule with Microsoft 365 Copilot.";"Info only";"General Availability";"New";"Technology";"2025-05-30";"2025-05-30";"Cloud"
"Joule";"Cloud Foundry";"Document Grounding Capability - Support for Documents in TXT File Format";"The document grounding capability now supports documents in TXT file format.  See Set Up Document Grounding.";"Info only";"General Availability";"New";"Technology";"2025-05-23";"2025-05-23";"Cloud"
"Joule,SAP BTP Cockpit";"Cloud Foundry";"UX Improvements to Joule in SAP BTP Cockpit";"Scenario flows and texts have been optimized for Joule interactions.  Joule in the cockpit now supports multiple attributes when selecting entities. For example, you can select a subaccount by entering the subaccount display name, subaccount ID, and/or subdomain name. Joule validates the name you enter and provides suggestions should it not recognize your entry.  Entities and attributes:  Cloud Foundry Space: ID name, space name  Global Account: subdomain, display name  User: email address  Role Collection: name  Region: region (technical name), display name  Subaccount: ID, display name, subdomain  ";"Info only";"General Availability";"New";"Technology";"2025-05-16";"2025-05-16";"Cloud"
"Joule";"Cloud Foundry";"Multi Conversation";"The Multi Conversation feature allows you to execute long running queries or asynchronous queries, or start conversations with Joule on multiple topics in parallel. This allows you to start multiple conversations in parallel on different topics. Conversation Threads also allows you to delete selected threads, rename threads, and access conversation history. With this feature, the idle timeout for a conversation thread expiry has been increased from 15 minutes to 8 hours.";"Info only";"General Availability";"New";"Technology";"2025-04-24";"2025-04-29";"Cloud"
"Joule";"Cloud Foundry";"User Feedback";"Each Joule response now features Thumbs ups and Thumbs down icons that can be used to record user feedback. Users can click the thumbs up icon to indicate that they have liked the response. Alternatively, if a user finds a response unsatisfactory, clicking the thumbs down button will open a list of options from which the most appropriate reason for the negative feedback can be selected.";"Info only";"General Availability";"New";"Technology";"2025-04-24";"2025-04-29";"Cloud"
"Joule";"Cloud Foundry";"Joule Capabilities Support Extended to SAP S/4HANA Cloud Private Edition 2022* and 2021*.";"Joule capabilities for SAP S/4HANA Cloud Private Edition 2023 are now also supported in 2022 and 2021 with some exceptions ('*' indicates this). For the list of capabilities available per release of SAP S/4HANA Cloud Private Edition, please refer to Release-Specific Capabilities.";"Info only";"General Availability";"Announcement";"Technology";"2025-04-28";"2025-04-28";"Cloud"
"Joule";"Cloud Foundry";"Electronic Document Error Explanations";"The Manage Electronic Documents app now enables natural language interaction with Joule, making it easier to understand electronic document exchange errors. You can ask Joule for error explanations and recommended resolution steps. By providing detailed insights, SAP Joule helps you understand the root cause of errors and offers guidance on corrective actions.";"Recommended";"General Availability";"New";"Technology";"2025-04-24";"2025-04-25";"Cloud"
"Joule";"Cloud Foundry";"New Analytical Insights Capability in Joule with SAP Analytics Cloud";"Joule, powered by SAP Analytics Cloud, now allows you to explore your data and gain insights into your business, in a natural, conversational experience. Using familiar business terms, simply ask your question, and the analytical insights capability will instantly provide answers about your data as simple charts and metrics.For more information on this capability, see Analytical Insights with SAP Analytics Cloud.";"Info only";"General Availability";"New";"Analytics";"2025-04-24";"2025-04-25";"Cloud"
"Joule";"Cloud Foundry";"New Transactional Capabilities Now Supported in SAP S/4HANA Cloud Public Edition";"Joule now provides the following transactional capability for SAP S/4HANA Cloud Public Edition, Finance:    Create Fixed Asset Master Data    ";"Info only";"General Availability";"New";"Finance";"2025-04-24";"2025-04-25";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported for Subscription Order Management in SAP S/4HANA Cloud Private Edition";"    Create subscription order: Joule enables users to create a subscription order using key attributes such as Transaction Type, Product, and Sold-to Party. Sales representatives can use Joule to update the recurring price, contract account, and technical resource details for a subscription order.   Joule further enables users to search for subscription orders using key attributes such as the Subscription Order ID, Product ID, Sold-to Party, and Contract Start Dates.       Search and summarize subscription contract: This capability enables users to retrieve subscription contract details based on key parameters such as the Sold-to Party, Product, Employee Responsible, Technical Resource, and start and end date range.   Joule enables users to view a summary of the subscription contract by displaying key attributes such as the Status, Price Details, Change History, Total Contract Value, and Important Notifications. The contract summary varies depending on the activation status of the subscription contract ensuring users receive accurate information based on the current state of the contract lifecycle.     For more information, see Subscription Order Management.";"Info only";"General Availability";"New";"Technology";"2025-04-24";"2025-04-18";"Cloud"
"Joule";"Cloud Foundry";"New Use Cases Now Supported in Service for SAP S/4HANA Cloud Private Edition";"The following transactional and navigational use cases are now supported in Service for SAP S/4HANA Cloud Private Edition:    Search and display service orders  Release service orders and service order items  Navigate to service order details  ";"Info only";"General Availability";"New";"Technology";"2025-04-16";"2025-04-18";"Cloud"
"Joule";"Cloud Foundry";"Joule in SAP BTP cockpit";"Joule is now available in SAP BTP cockpit. It helps platform administrators ask questions related to their BTP resources, such as users or the runtime environment, in the cockpit.  You can ask Joule what it can do for you, either by typing the question directly or selecting the quick start button. For example, Joule can provide you with information about your global accounts or subaccounts:      List your global accounts of subaccounts and see details      See available regions      You can ask Joule to provide you with information about users:      Get details about global account or subaccount users      View users and their permissions      List role collections for your global account or subaccount      Joule in the BTP cockpit can also assist you with administrative tasks related to Cloud Foundry:      View available Cloud Foundry environments      List Cloud Foundry instances or spaces      See the Cloud Foundry org or space users      You can also ask questions about SAP BTP Services or the cockpit. Joule references the SAP BTP documentation, summarize its findings, and links to relevant help content.  For more information, see What's New for SAP Business Technology Platform and Account Administration Using Joule in the Cockpit.";"Info only";"General Availability";"New";"Technology";"2025-04-04";"2025-04-04";"Cloud"
"Joule";"Cloud Foundry";"Joule Multi Language Support";"Joule now supports multiple languages.  Joule Multi Language Support ensures users experience Joule in their desired language, providing localized messages, product data, and more. It automatically adopts the language configured within the SAP application, and can understand languages other than those officially supported. For more information about language support, see Joule Multi Language Support.";"Info only";"General Availability";"New";"Technology";"2025-04-04";"2025-04-04";"Cloud"
